title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
클릭,코미디,러닝 타임 중앙값 이상,12세 관람가,프랭크 코라치,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
그해 여름,멜로/로맨스,러닝 타임 중앙값 이상,12세 관람가,조근식,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
스트레인저 - 무황인담,액션,러닝 타임 중앙값 이상,15세 관람가,안도 마사히로,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
스피드,액션,러닝 타임 중앙값 이상,15세 관람가,쟝 드봉,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
혐오스런 마츠코의 일생,코미디,러닝 타임 중앙값 이상,15세 관람가,나카시마 테츠야,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!,가족,러닝 타임 중앙값 이상,전체 관람가,무토 유지,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
봄날은 간다,드라마,러닝 타임 중앙값 이상,15세 관람가,허진호,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
패딩턴 2,코미디,러닝 타임 중앙값 이상,전체 관람가,폴 킹,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
내겐 너무 소중한 너,드라마,러닝 타임 중앙값 이상,12세 관람가,이창원,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
스틸 라이프,드라마,러닝 타임 중앙값 이상,12세 관람가,우베르토 파솔리니,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
겨울왕국,애니메이션,러닝 타임 중앙값 이상,전체 관람가,크리스 벅,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
러브레터,드라마,러닝 타임 중앙값 이상,전체 관람가,이와이 슌지,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
우드잡,코미디,러닝 타임 중앙값 이상,12세 관람가,야구치 시노부,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
보물성,SF,러닝 타임 중앙값 이상,전체 관람가,론 클레멘츠,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
미션 임파서블: 폴아웃,액션,러닝 타임 중앙값 이상,15세 관람가,크리스토퍼 맥쿼리,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
와이키키 브라더스,드라마,러닝 타임 중앙값 이상,청소년 관람불가,임순례,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
늑대아이,애니메이션,러닝 타임 중앙값 이상,전체 관람가,호소다 마모루,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
터미네이터 2:오리지널,SF,러닝 타임 중앙값 이상,15세 관람가,제임스 카메론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
철가방 우수氏,드라마,러닝 타임 중앙값 이상,12세 관람가,윤학렬,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습,애니메이션,러닝 타임 중앙값 이상,전체 관람가,타카하시 와타루,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
아는 여자,코미디,러닝 타임 중앙값 이상,15세 관람가,장진,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
나 홀로 집에,모험,러닝 타임 중앙값 이상,전체 관람가,크리스 콜럼버스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
월-E,애니메이션,러닝 타임 중앙값 이상,전체 관람가,앤드류 스탠튼,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
보헤미안 랩소디,드라마,러닝 타임 중앙값 이상,12세 관람가,브라이언 싱어,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
빽 투 더 퓨쳐,SF,러닝 타임 중앙값 이상,12세 관람가,로버트 저메키스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
사운드 오브 뮤직,멜로/로맨스,러닝 타임 중앙값 이상,전체 관람가,로버트 와이즈,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
로보캅,SF,러닝 타임 중앙값 이상,15세 관람가,폴 버호벤,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
점박이 한반도의 공룡2 : 새로운 낙원,애니메이션,러닝 타임 중앙값 이상,전체 관람가,한상호,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
이터널 선샤인,멜로/로맨스,러닝 타임 중앙값 이상,15세 관람가,미셸 공드리,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
드래곤볼 슈퍼: 브로리,애니메이션,러닝 타임 중앙값 이상,전체 관람가,나가미네 타츠야,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
스타워즈 에피소드 3 - 시스의 복수,SF,러닝 타임 중앙값 이상,전체 관람가,조지 루카스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
라야와 마지막 드래곤,애니메이션,러닝 타임 중앙값 이상,전체 관람가,돈 홀,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
하치 이야기,가족,러닝 타임 중앙값 이상,전체 관람가,코야마 세이지로,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
블랙 호크 다운,전쟁,러닝 타임 중앙값 이상,15세 관람가,리들리 스콧,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
하울의 움직이는 성,애니메이션,러닝 타임 중앙값 이상,전체 관람가,미야자키 하야오,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
파도가 지나간 자리,드라마,러닝 타임 중앙값 이상,15세 관람가,데릭 시엔프랜스,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
뮬란,애니메이션,러닝 타임 중앙값 미만,전체 관람가,토니 밴크로프트,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
피터팬,가족,러닝 타임 중앙값 이상,전체 관람가,P.J. 호건,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
싸이코,공포,러닝 타임 중앙값 이상,청소년 관람불가,알프레드 히치콕,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
웨딩 드레스,드라마,러닝 타임 중앙값 이상,전체 관람가,권형진,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
증인,드라마,러닝 타임 중앙값 이상,12세 관람가,이한,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
콘 에어,액션,러닝 타임 중앙값 이상,15세 관람가,사이먼 웨스트,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
노팅 힐,멜로/로맨스,러닝 타임 중앙값 이상,12세 관람가,로저 미첼,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
미쓰백,드라마,러닝 타임 중앙값 이상,15세 관람가,이지원,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
용서받지 못한 자,드라마,러닝 타임 중앙값 이상,15세 관람가,윤종빈,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
정무문,액션,러닝 타임 중앙값 이상,15세 관람가,나유,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
샤인,드라마,러닝 타임 중앙값 이상,15세 관람가,스콧 힉스,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
극장판 쿠로코의 농구 라스트 게임,애니메이션,러닝 타임 중앙값 미만,12세 관람가,타다 슌스케,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
7인의 사무라이,액션,러닝 타임 중앙값 이상,NR,구로사와 아키라,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
추격자,범죄,러닝 타임 중앙값 이상,청소년 관람불가,나홍진,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
러브 오브 시베리아,드라마,러닝 타임 중앙값 이상,NR,니키타 미할코프,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
클리프행어,액션,러닝 타임 중앙값 이상,12세 관람가,레니 할린,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
보디가드,멜로/로맨스,러닝 타임 중앙값 이상,15세 관람가,믹 잭슨,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
공범자들,다큐멘터리,러닝 타임 중앙값 이상,15세 관람가,최승호,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
버킷리스트: 죽기 전에 꼭 하고 싶은 것들,모험,러닝 타임 중앙값 이상,12세 관람가,로브 라이너,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
패치 아담스,코미디,러닝 타임 중앙값 이상,12세 관람가,톰 새디악,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
글루미 선데이,드라마,러닝 타임 중앙값 이상,청소년 관람불가,롤프 슈벨,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
호텔 르완다,드라마,러닝 타임 중앙값 이상,12세 관람가,테리 조지,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
시스터 액트 2,코미디,러닝 타임 중앙값 이상,12세 관람가,빌 듀크,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
내일을 향해 쏴라,서부,러닝 타임 중앙값 이상,15세 관람가,조지 로이 힐,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
파이란,멜로/로맨스,러닝 타임 중앙값 이상,15세 관람가,송해성,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
피아니스트 세이모어의 뉴욕 소네트,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,에단 호크,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
피케이: 별에서 온 얼간이,코미디,러닝 타임 중앙값 이상,15세 관람가,라지쿠마르 히라니,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
첩혈쌍웅,액션,러닝 타임 중앙값 이상,청소년 관람불가,오우삼,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
스타워즈 에피소드 5 - 제국의 역습,SF,러닝 타임 중앙값 이상,전체 관람가,어빈 케쉬너,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
피의 연대기,다큐멘터리,러닝 타임 중앙값 미만,12세 관람가,김보람,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
너는 내 운명,멜로/로맨스,러닝 타임 중앙값 이상,청소년 관람불가,박진표,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
책상 서랍 속의 동화,드라마,러닝 타임 중앙값 이상,상영등급 정보 없음,장예모,연출작 개수 중앙값 이상,연기자 없음,명작
인사이드 아웃,애니메이션,러닝 타임 중앙값 이상,전체 관람가,피트 닥터,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
마이 걸,드라마,러닝 타임 중앙값 이상,12세 관람가,하워드 지프,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
밀리언 달러 베이비,드라마,러닝 타임 중앙값 이상,12세 관람가,클린트 이스트우드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
아바타,SF,러닝 타임 중앙값 이상,12세 관람가,제임스 카메론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
에린 브로코비치,드라마,러닝 타임 중앙값 이상,15세 관람가,스티븐 소더버그,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
송가인 더 드라마,공연실황,러닝 타임 중앙값 미만,전체 관람가,이태슬,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
로건,액션,러닝 타임 중앙값 이상,청소년 관람불가,제임스 맨골드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
업그레이드,액션,러닝 타임 중앙값 이상,15세 관람가,리 워넬,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
에반게리온: 파,애니메이션,러닝 타임 중앙값 이상,12세 관람가,안노 히데아키,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
당신이 잠든 사이에,멜로/로맨스,러닝 타임 중앙값 이상,전체 관람가,존 터틀타웁,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
쓰리 세컨즈,드라마,러닝 타임 중앙값 이상,12세 관람가,안톤 메게르디체브,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
캐리비안의 해적 - 블랙 펄의 저주,판타지,러닝 타임 중앙값 이상,12세 관람가,고어 버빈스키,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
이연걸의 정무문,액션,러닝 타임 중앙값 이상,15세 관람가,진가상,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
이프 온리,멜로/로맨스,러닝 타임 중앙값 이상,15세 관람가,길 정거,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
록키 2,액션,러닝 타임 중앙값 이상,12세 관람가,실베스터 스탤론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
7월 4일생,전쟁,러닝 타임 중앙값 이상,15세 관람가,올리버 스톤,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
아이덴티티,드라마,러닝 타임 중앙값 미만,15세 관람가,제임스 맨골드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
명탐정 코난: 침묵의 15분,애니메이션,러닝 타임 중앙값 이상,전체 관람가,시즈노 코분,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
바그다드 카페 : 디렉터스컷,코미디,러닝 타임 중앙값 이상,15세 관람가,퍼시 애들론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
내 깡패 같은 애인,코미디,러닝 타임 중앙값 이상,15세 관람가,김광식,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
하치 이야기,가족,러닝 타임 중앙값 이상,전체 관람가,라세 할스트롬,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
댄서,다큐멘터리,러닝 타임 중앙값 미만,15세 관람가,스티븐 캔터,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
노트북,멜로/로맨스,러닝 타임 중앙값 이상,15세 관람가,닉 카사베츠,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
미스비헤이비어,드라마,러닝 타임 중앙값 이상,15세 관람가,필립파 로소프,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
타오르는 여인의 초상,드라마,러닝 타임 중앙값 이상,15세 관람가,셀린 시아마,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
블랙,드라마,러닝 타임 중앙값 이상,전체 관람가,산제이 릴라 반살리,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
리얼 스틸,액션,러닝 타임 중앙값 이상,12세 관람가,숀 레비,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
식스 센스,드라마,러닝 타임 중앙값 이상,12세 관람가,M. 나이트 샤말란,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
세븐 데이즈,범죄,러닝 타임 중앙값 이상,청소년 관람불가,원신연,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
얼라이브,드라마,러닝 타임 중앙값 이상,15세 관람가,프랭크 마샬,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
누들,드라마,러닝 타임 중앙값 이상,전체 관람가,아일레트 메나헤미,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
배트맨 2,액션,러닝 타임 중앙값 이상,15세 관람가,팀 버튼,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
조 블랙의 사랑,판타지,러닝 타임 중앙값 이상,15세 관람가,마틴 브레스트,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
퍼펙트 월드,드라마,러닝 타임 중앙값 이상,12세 관람가,클린트 이스트우드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
브루스 올마이티,코미디,러닝 타임 중앙값 이상,12세 관람가,톰 새디악,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
구니스,모험,러닝 타임 중앙값 이상,전체 관람가,리처드 도너,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
경찰서를 털어라,코미디,러닝 타임 중앙값 이상,12세 관람가,레스 메이필드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
호텔 뭄바이,범죄,러닝 타임 중앙값 이상,15세 관람가,안소니 마라스,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
서프러제트,드라마,러닝 타임 중앙값 이상,12세 관람가,사라 가브론,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
어린 의뢰인,드라마,러닝 타임 중앙값 이상,12세 관람가,장규성,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
GROW: 인피니트의 리얼 청춘 라이프,한국,상영 시간 정보 없음,전체 관람가,김진수,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
도신 - 정전자,액션,러닝 타임 중앙값 이상,15세 관람가,왕정,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
명탐정 코난 : 제로의 집행인,애니메이션,러닝 타임 중앙값 이상,12세 관람가,타치카와 유즈루,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
월플라워,드라마,러닝 타임 중앙값 이상,15세 관람가,스티븐 크보스키,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
아마겟돈,SF,러닝 타임 중앙값 이상,15세 관람가,마이클 베이,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
아홉살 인생,드라마,러닝 타임 중앙값 이상,전체 관람가,윤인호,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
"알로, 슈티",코미디,러닝 타임 중앙값 이상,12세 관람가,대니 분,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
하모니,드라마,러닝 타임 중앙값 이상,12세 관람가,강대규,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
"제자, 옥한흠",다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,김상철,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
가디언,액션,러닝 타임 중앙값 이상,12세 관람가,앤드루 데이비스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
인디아나 존스 - 최후의 성전,모험,러닝 타임 중앙값 이상,12세 관람가,스티븐 스필버그,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
루카,애니메이션,러닝 타임 중앙값 이상,전체 관람가,엔리코 카사로사,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
올드보이,드라마,러닝 타임 중앙값 이상,청소년 관람불가,박찬욱,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
다이 하드 3,액션,러닝 타임 중앙값 이상,15세 관람가,존 맥티어난,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
왕의 남자,드라마,러닝 타임 중앙값 이상,15세 관람가,이준익,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
메리 크리스마스,전쟁,러닝 타임 중앙값 이상,15세 관람가,크리스티앙 카리옹,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
캡틴 필립스,드라마,러닝 타임 중앙값 이상,15세 관람가,폴 그린그래스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
내부자들: 디 오리지널,범죄,러닝 타임 중앙값 이상,청소년 관람불가,우민호,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
터보,애니메이션,러닝 타임 중앙값 이상,전체 관람가,데이빗 소렌,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
나는 고양이로소이다,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,조은성,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
물랑 루즈,뮤지컬,러닝 타임 중앙값 이상,15세 관람가,바즈 루어만,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
티벳에서의 7년,드라마,러닝 타임 중앙값 이상,12세 관람가,장 자크 아노,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
엑스맨: 퍼스트 클래스,SF,러닝 타임 중앙값 이상,12세 관람가,매튜 본,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
굿바이,드라마,러닝 타임 중앙값 이상,12세 관람가,타키타 요지로,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
불멸의 연인,드라마,러닝 타임 중앙값 이상,15세 관람가,버나드 로즈,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
볼트,모험,러닝 타임 중앙값 이상,전체 관람가,바이론 하워드,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
비긴 어게인,드라마,러닝 타임 중앙값 이상,15세 관람가,존 카니,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
레이,드라마,러닝 타임 중앙값 이상,15세 관람가,테일러 핵포드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
진용,모험,러닝 타임 중앙값 이상,12세 관람가,정소동,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
라스트 듀얼: 최후의 결투,액션,러닝 타임 중앙값 이상,청소년 관람불가,리들리 스콧,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
영구와 땡칠이,코미디,러닝 타임 중앙값 이상,전체 관람가,남기남,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
세컨핸드 라이온스,드라마,러닝 타임 중앙값 이상,12세 관람가,팀 맥칸라이즈,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
젝스키스 에이틴,다큐멘터리,러닝 타임 중앙값 이상,상영등급 정보 없음,은지원,연출작 개수 중앙값 이상,연기자 없음,명작
서칭 포 슈가맨,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,말릭 벤젤룰,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
콜드 마운틴,드라마,러닝 타임 중앙값 이상,15세 관람가,안소니 밍겔라,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
케이 팩스,SF,러닝 타임 중앙값 이상,12세 관람가,이안 소프틀리,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
타샤 튜더,다큐멘터리,러닝 타임 중앙값 이상,전체 관람가,마츠타니 미츠에,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
스윗 프랑세즈,드라마,러닝 타임 중앙값 이상,15세 관람가,사울 딥,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
택시운전사,드라마,러닝 타임 중앙값 이상,15세 관람가,장훈,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
인디아나 존스,모험,러닝 타임 중앙값 이상,12세 관람가,스티븐 스필버그,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
크로싱,드라마,러닝 타임 중앙값 이상,12세 관람가,김태균,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
툴리,드라마,러닝 타임 중앙값 이상,15세 관람가,제이슨 라이트맨,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
로마,드라마,러닝 타임 중앙값 이상,15세 관람가,알폰소 쿠아론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
에너미 앳 더 게이트,전쟁,러닝 타임 중앙값 이상,15세 관람가,장 자크 아노,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
인사이드 잡,다큐멘터리,러닝 타임 중앙값 이상,12세 관람가,찰스 퍼거슨,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
브이 포 벤데타,액션,러닝 타임 중앙값 이상,15세 관람가,제임스 맥티그,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
성원,멜로/로맨스,러닝 타임 중앙값 이상,12세 관람가,마초성,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
슈퍼스타 감사용,드라마,러닝 타임 중앙값 이상,전체 관람가,김종현,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
싱 스트리트,드라마,러닝 타임 중앙값 이상,15세 관람가,존 카니,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
파리넬리,드라마,러닝 타임 중앙값 이상,청소년 관람불가,제라르 코르비오,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
인생 후르츠,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,후시하라 켄시,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
양들의 침묵,범죄,러닝 타임 중앙값 이상,청소년 관람불가,조나단 드미,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
결혼 이야기,코미디,러닝 타임 중앙값 이상,15세 관람가,노아 바움백,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
스즈미야 하루히의 소실,애니메이션,러닝 타임 중앙값 이상,12세 관람가,이시하라 타츠야,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
다크 나이트 라이즈,액션,러닝 타임 중앙값 이상,15세 관람가,크리스토퍼 놀란,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
보스 베이비 2,애니메이션,러닝 타임 중앙값 이상,전체 관람가,톰 맥그라스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
토이 스토리 4,애니메이션,러닝 타임 중앙값 이상,전체 관람가,조시 쿨리,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
청설,멜로/로맨스,러닝 타임 중앙값 이상,전체 관람가,청펀펀,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
러시 : 더 라이벌,액션,러닝 타임 중앙값 이상,청소년 관람불가,론 하워드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,애니메이션,러닝 타임 중앙값 이상,전체 관람가,하시모토 마사카즈,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
동감,멜로/로맨스,러닝 타임 중앙값 이상,12세 관람가,김정권,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
고양이 춤,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,윤기형,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
미져리,스릴러,러닝 타임 중앙값 이상,청소년 관람불가,로브 라이너,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
사랑의 선물,드라마,러닝 타임 중앙값 미만,15세 관람가,김규민,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
쿵푸 팬더,애니메이션,러닝 타임 중앙값 미만,전체 관람가,마크 오스본,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
