,title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
0,밥정,다큐멘터리,82분,전체 관람가,박혜령,1개,3개,평점 중앙값 이상의 작품
1,그린 북,드라마,130분,12세 관람가,피터 패럴리,22개,51개,평점 중앙값 이상의 작품
2,가버나움,드라마,126분,15세 관람가,나딘 라바키,11개,1개,평점 중앙값 이상의 작품
3,디지몬 어드벤처 라스트 에볼루션 : 인연,애니메이션,114분,12세 관람가,타구치 토모히사,2개,22개,평점 중앙값 이상의 작품
4,베일리 어게인,모험,100분,전체 관람가,라세 할스트롬,25개,33개,평점 중앙값 이상의 작품
5,원더,드라마,113분,전체 관람가,스티븐 크보스키,9개,12개,평점 중앙값 이상의 작품
6,아일라,드라마,123분,15세 관람가,잔 울카이,2개,2개,평점 중앙값 이상의 작품
7,극장판 바이올렛 에버가든,애니메이션,140분,전체 관람가,이시다테 타이치,7개,5개,평점 중앙값 이상의 작품
8,먼 훗날 우리,드라마,120분,상영등급 정보 없음,유약영,24개,19개,평점 중앙값 이상의 작품
9,당갈,드라마,161분,12세 관람가,니테쉬 티와리,6개,30개,평점 중앙값 이상의 작품
10,포드 V 페라리,액션,152분,12세 관람가,제임스 맨골드,19개,82개,평점 중앙값 이상의 작품
11,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",공연실황,80분,전체 관람가,오윤동,22개,1개,평점 중앙값 이상의 작품
12,주전장,다큐멘터리,121분,상영등급 정보 없음,미키 데자키,1개,연기자 없음,평점 중앙값 이상의 작품
13,쇼생크 탈출,드라마,142분,15세 관람가,프랭크 다라본트,19개,66개,평점 중앙값 이상의 작품
14,터미네이터 2:오리지널,SF,137분,15세 관람가,제임스 카메론,43개,65개,평점 중앙값 이상의 작품
15,클래식,멜로/로맨스,132분,12세 관람가,곽재용,28개,31개,평점 중앙값 이상의 작품
16,라이언 일병 구하기,전쟁,170분,15세 관람가,스티븐 스필버그,145개,98개,평점 중앙값 이상의 작품
17,덕구,드라마,91분,전체 관람가,방수인,7개,220개,평점 중앙값 이상의 작품
18,나 홀로 집에,모험,105분,전체 관람가,크리스 콜럼버스,38개,19개,평점 중앙값 이상의 작품
19,월-E,애니메이션,104분,전체 관람가,앤드류 스탠튼,20개,11개,평점 중앙값 이상의 작품
20,보헤미안 랩소디,드라마,134분,12세 관람가,브라이언 싱어,25개,23개,평점 중앙값 이상의 작품
21,빽 투 더 퓨쳐,SF,120분,12세 관람가,로버트 저메키스,46개,49개,평점 중앙값 이상의 작품
22,사운드 오브 뮤직,멜로/로맨스,172분,전체 관람가,로버트 와이즈,51개,38개,평점 중앙값 이상의 작품
23,포레스트 검프,드라마,142분,12세 관람가,로버트 저메키스,46개,98개,평점 중앙값 이상의 작품
24,잭 스나이더의 저스티스 리그,액션,242분,12세 관람가,잭 스나이더,19개,70개,평점 중앙값 이상의 작품
25,위대한 쇼맨,드라마,104분,12세 관람가,마이클 그레이시,2개,46개,평점 중앙값 이상의 작품
26,글래디에이터,액션,154분,15세 관람가,리들리 스콧,76개,49개,평점 중앙값 이상의 작품
27,타이타닉,멜로/로맨스,194분,15세 관람가,제임스 카메론,43개,58개,평점 중앙값 이상의 작품
28,인생은 아름다워,드라마,116분,전체 관람가,로베르토 베니니,20개,20개,평점 중앙값 이상의 작품
29,헬프,드라마,146분,전체 관람가,테이트 테일러,10개,28개,평점 중앙값 이상의 작품
30,살인의 추억,범죄,132분,15세 관람가,봉준호,33개,41개,평점 중앙값 이상의 작품
31,매트릭스,SF,136분,12세 관람가,릴리 워쇼스키,14개,83개,평점 중앙값 이상의 작품
32,가나의 혼인잔치: 언약,다큐멘터리,73분,전체 관람가,브렌트 밀러 주니어,1개,1개,평점 중앙값 이상의 작품
33,센과 치히로의 행방불명,애니메이션,126분,전체 관람가,미야자키 하야오,40개,5개,평점 중앙값 이상의 작품
34,토이 스토리 3,애니메이션,102분,전체 관람가,리 언크리치,7개,98개,평점 중앙값 이상의 작품
35,캐스트 어웨이,드라마,143분,12세 관람가,로버트 저메키스,46개,98개,평점 중앙값 이상의 작품
36,헌터 킬러,액션,121분,15세 관람가,도노반 마시,4개,57개,평점 중앙값 이상의 작품
37,집으로...,드라마,87분,전체 관람가,이정향,8개,1개,평점 중앙값 이상의 작품
38,반지의 제왕: 왕의 귀환,판타지,263분,12세 관람가,피터 잭슨,25개,65개,평점 중앙값 이상의 작품
39,태극권,액션,96분,15세 관람가,원화평,78개,53개,평점 중앙값 이상의 작품
40,죽은 시인의 사회,드라마,128분,12세 관람가,피터 위어,15개,84개,평점 중앙값 이상의 작품
41,어벤져스: 엔드게임,액션,181분,12세 관람가,안소니 루소,15개,87개,평점 중앙값 이상의 작품
42,히든 피겨스,드라마,127분,12세 관람가,데오도르 멜피,9개,46개,평점 중앙값 이상의 작품
43,레옹,범죄,132분,청소년 관람불가,뤽 베송,92개,69개,평점 중앙값 이상의 작품
44,알라딘,모험,128분,전체 관람가,가이 리치,17개,3개,평점 중앙값 이상의 작품
45,쉰들러 리스트,드라마,196분,15세 관람가,스티븐 스필버그,145개,98개,평점 중앙값 이상의 작품
46,아이 캔 스피크,드라마,119분,12세 관람가,김현석,15개,97개,평점 중앙값 이상의 작품
47,클레멘타인,액션,100분,15세 관람가,김두영,11개,42개,평점 중앙값 이상의 작품
48,동주,드라마,110분,12세 관람가,이준익,32개,29개,평점 중앙값 이상의 작품
49,안녕 베일리,가족,109분,전체 관람가,게일 맨쿠소,22개,33개,평점 중앙값 이상의 작품
50,여인의 향기,드라마,157분,15세 관람가,마틴 브레스트,10개,65개,평점 중앙값 이상의 작품
51,서유기 2 - 선리기연,코미디,99분,15세 관람가,유진위,40개,72개,평점 중앙값 이상의 작품
52,미스 슬로운,드라마,132분,15세 관람가,존 매든,15개,39개,평점 중앙값 이상의 작품
53,굿 윌 헌팅,드라마,126분,15세 관람가,구스 반 산트,43개,82개,평점 중앙값 이상의 작품
54,다시 태어나도 우리,다큐멘터리,95분,전체 관람가,문창용,1개,1개,평점 중앙값 이상의 작품
55,트루먼 쇼,코미디,103분,12세 관람가,피터 위어,15개,48개,평점 중앙값 이상의 작품
56,굿바이 마이 프랜드,드라마,97분,12세 관람가,피터 호튼,27개,20개,평점 중앙값 이상의 작품
57,주토피아,애니메이션,108분,전체 관람가,바이론 하워드,7개,26개,평점 중앙값 이상의 작품
58,지상의 별처럼,드라마,163분,전체 관람가,아미르 칸,30개,1개,평점 중앙값 이상의 작품
59,아이즈 온 미 : 더 무비,공연실황,104분,상영등급 정보 없음,권은비,1개,연기자 없음,평점 중앙값 이상의 작품
60,반지의 제왕: 두 개의 탑,판타지,235분,12세 관람가,피터 잭슨,25개,65개,평점 중앙값 이상의 작품
61,모노노케 히메,애니메이션,135분,전체 관람가,미야자키 하야오,40개,12개,평점 중앙값 이상의 작품
62,해리 포터와 마법사의 돌,판타지,152분,전체 관람가,크리스 콜럼버스,38개,28개,평점 중앙값 이상의 작품
63,세 얼간이,코미디,141분,12세 관람가,라지쿠마르 히라니,8개,30개,평점 중앙값 이상의 작품
64,"지금, 만나러 갑니다",멜로/로맨스,118분,12세 관람가,도이 노부히로,24개,46개,평점 중앙값 이상의 작품
65,나 홀로 집에 2 - 뉴욕을 헤매다,모험,115분,전체 관람가,크리스 콜럼버스,38개,19개,평점 중앙값 이상의 작품
66,더 록,액션,131분,15세 관람가,마이클 베이,41개,62개,평점 중앙값 이상의 작품
67,에이리언 2,SF,137분,15세 관람가,제임스 카메론,43개,77개,평점 중앙값 이상의 작품
68,아기공룡 둘리 - 얼음별 대모험,애니메이션,80분,전체 관람가,김수정,7개,38개,평점 중앙값 이상의 작품
69,울지마 톤즈,다큐멘터리,91분,전체 관람가,구수환,2개,14개,평점 중앙값 이상의 작품
70,미세스 다웃파이어,코미디,125분,12세 관람가,크리스 콜럼버스,38개,84개,평점 중앙값 이상의 작품
71,다크 나이트,액션,152분,15세 관람가,크리스토퍼 놀란,20개,53개,평점 중앙값 이상의 작품
72,알라딘,애니메이션,90분,전체 관람가,존 머스커,9개,8개,평점 중앙값 이상의 작품
73,아마데우스,드라마,180분,12세 관람가,밀로스 포만,29개,20개,평점 중앙값 이상의 작품
74,빌리 엘리어트,드라마,110분,12세 관람가,스티븐 달드리,11개,32개,평점 중앙값 이상의 작품
75,로망,멜로/로맨스,112분,전체 관람가,이창근,1개,220개,평점 중앙값 이상의 작품
76,언터처블: 1%의 우정,코미디,112분,12세 관람가,올리비에르 나카체,8개,47개,평점 중앙값 이상의 작품
77,그대를 사랑합니다,드라마,118분,15세 관람가,추창민,10개,220개,평점 중앙값 이상의 작품
78,아이 엠 샘,드라마,132분,12세 관람가,제시 넬슨,12개,65개,평점 중앙값 이상의 작품
79,달링,드라마,118분,12세 관람가,앤디 서키스,55개,22개,평점 중앙값 이상의 작품
80,피아니스트,드라마,148분,12세 관람가,로만 폴란스키,44개,56개,평점 중앙값 이상의 작품
81,시네마 천국,드라마,124분,전체 관람가,쥬세페 토르나토레,19개,22개,평점 중앙값 이상의 작품
82,아이언 자이언트,애니메이션,90분,전체 관람가,브래드 버드,14개,53개,평점 중앙값 이상의 작품
83,자산어보,드라마,126분,12세 관람가,이준익,32개,48개,평점 중앙값 이상의 작품
84,라푼젤,애니메이션,100분,전체 관람가,네이슨 그레노,6개,31개,평점 중앙값 이상의 작품
85,프리 윌리,가족,112분,전체 관람가,사이먼 윈서,27개,3개,평점 중앙값 이상의 작품
86,언더독,애니메이션,102분,전체 관람가,오성윤,9개,12개,평점 중앙값 이상의 작품
87,두 교황,드라마,126분,12세 관람가,페르난도 메이렐레스,18개,99개,평점 중앙값 이상의 작품
88,오세암,애니메이션,75분,전체 관람가,성백엽,3개,65개,평점 중앙값 이상의 작품
89,업,애니메이션,101분,전체 관람가,피트 닥터,17개,81개,평점 중앙값 이상의 작품
90,프리퀀시,범죄,117분,12세 관람가,그레고리 호블릿,11개,81개,평점 중앙값 이상의 작품
91,드래곤 길들이기,애니메이션,98분,전체 관람가,딘 데블로이스,7개,34개,평점 중앙값 이상의 작품
92,소원,드라마,122분,12세 관람가,이준익,32개,48개,평점 중앙값 이상의 작품
93,천공의 성 라퓨타,애니메이션,124분,전체 관람가,미야자키 하야오,40개,41개,평점 중앙값 이상의 작품
94,해리 포터와 죽음의 성물 - 2부,모험,131분,전체 관람가,데이빗 예이츠,15개,28개,평점 중앙값 이상의 작품
95,토이 스토리,애니메이션,77분,전체 관람가,존 라세터,67개,98개,평점 중앙값 이상의 작품
96,블라인드 사이드,드라마,128분,12세 관람가,존 리 행콕,13개,58개,평점 중앙값 이상의 작품
97,러브 유어셀프 인 서울,공연실황,113분,상영등급 정보 없음,RM,5개,연기자 없음,평점 중앙값 이상의 작품
98,주먹왕 랄프,애니메이션,108분,전체 관람가,리치 무어,5개,71개,평점 중앙값 이상의 작품
99,모던 타임즈,코미디,87분,전체 관람가,찰리 채플린,99개,99개,평점 중앙값 이상의 작품
100,코코,애니메이션,104분,전체 관람가,리 언크리치,7개,3개,평점 중앙값 이상의 작품
101,늑대와 춤을,서부,180분,15세 관람가,케빈 코스트너,59개,59개,평점 중앙값 이상의 작품
102,쥬라기 공원,SF,123분,12세 관람가,스티븐 스필버그,145개,90개,평점 중앙값 이상의 작품
103,브레이크 더 사일런스: 더 무비,다큐멘터리,89분,전체 관람가,박준수,3개,5개,평점 중앙값 이상의 작품
104,패왕별희 디 오리지널,드라마,171분,15세 관람가,천카이거,24개,66개,평점 중앙값 이상의 작품
105,에이 아이,SF,144분,12세 관람가,스티븐 스필버그,145개,35개,평점 중앙값 이상의 작품
106,우리들의 일그러진 영웅,드라마,119분,전체 관람가,박종원,16개,37개,평점 중앙값 이상의 작품
107,코러스,드라마,97분,전체 관람가,크리스토퍼 파라티에,7개,41개,평점 중앙값 이상의 작품
108,폴리스 스토리,액션,99분,12세 관람가,성룡,151개,151개,평점 중앙값 이상의 작품
109,메리 포핀스,가족,140분,전체 관람가,로버트 스티븐슨,26개,38개,평점 중앙값 이상의 작품
110,번 더 스테이지: 더 무비,한국,2018 .11.15 개봉,전체 관람가,박준수,3개,5개,평점 중앙값 이상의 작품
111,폴란드로 간 아이들,다큐멘터리,79분,전체 관람가,추상미,35개,1개,평점 중앙값 이상의 작품
112,소울,애니메이션,107분,전체 관람가,피트 닥터,17개,54개,평점 중앙값 이상의 작품
113,엽기적인 그녀,코미디,137분,15세 관람가,곽재용,28개,17개,평점 중앙값 이상의 작품
114,뷰티풀 투모로우,드라마,68분,12세 관람가,장재혁,6개,3개,평점 중앙값 이상의 작품
115,라따뚜이,코미디,115분,전체 관람가,브래드 버드,14개,53개,평점 중앙값 이상의 작품
116,록키,드라마,120분,12세 관람가,존 G. 아빌드센,25개,82개,평점 중앙값 이상의 작품
117,다이 하드,액션,131분,15세 관람가,존 맥티어난,13개,120개,평점 중앙값 이상의 작품
118,바이센테니얼 맨,SF,133분,전체 관람가,크리스 콜럼버스,38개,84개,평점 중앙값 이상의 작품
119,바람계곡의 나우시카,애니메이션,116분,전체 관람가,미야자키 하야오,40개,33개,평점 중앙값 이상의 작품
120,시월애,드라마,94분,12세 관람가,이현승,31개,47개,평점 중앙값 이상의 작품
121,반지의 제왕: 반지 원정대,판타지,228분,12세 관람가,피터 잭슨,25개,65개,평점 중앙값 이상의 작품
122,타잔,애니메이션,88분,전체 관람가,케빈 리마,9개,54개,평점 중앙값 이상의 작품
123,8월의 크리스마스,드라마,97분,15세 관람가,허진호,24개,39개,평점 중앙값 이상의 작품
124,몬스터 주식회사 3D,애니메이션,92분,전체 관람가,피트 닥터,17개,118개,평점 중앙값 이상의 작품
125,오페라의 유령 : 25주년 특별 공연,공연실황,175분,전체 관람가,캐머런 맥킨토시,6개,2개,평점 중앙값 이상의 작품
126,12번째 솔저,전쟁,135분,12세 관람가,해럴드 즈워트,14개,1개,평점 중앙값 이상의 작품
127,라이온 킹,애니메이션,89분,전체 관람가,로저 알러스,7개,14개,평점 중앙값 이상의 작품
128,허스토리,드라마,121분,12세 관람가,민규동,27개,40개,평점 중앙값 이상의 작품
129,교회오빠,다큐멘터리,85분,전체 관람가,이호경,1개,1개,평점 중앙값 이상의 작품
130,"나, 다니엘 블레이크",드라마,100분,12세 관람가,켄 로치,39개,2개,평점 중앙값 이상의 작품
131,일급 살인,드라마,122분,15세 관람가,마크 로코,7개,94개,평점 중앙값 이상의 작품
132,내 이름은 칸,드라마,127분,12세 관람가,카란 조하르,24개,53개,평점 중앙값 이상의 작품
133,천녀유혼,판타지,98분,12세 관람가,정소동,52개,66개,평점 중앙값 이상의 작품
134,보디가드,액션,92분,15세 관람가,원규,93개,53개,평점 중앙값 이상의 작품
135,영웅: 샐러멘더의 비밀,액션,102분,15세 관람가,알렉산드르 야킴추크,1개,47개,평점 중앙값 이상의 작품
136,뽀로로 극장판 보물섬 대모험,애니메이션,79분,전체 관람가,김현호,4개,24개,평점 중앙값 이상의 작품
137,동방불패,액션,107분,15세 관람가,정소동,52개,53개,평점 중앙값 이상의 작품
138,언플랜드,드라마,109분,15세 관람가,척 콘젤만,11개,4개,평점 중앙값 이상의 작품
139,플립,멜로/로맨스,90분,12세 관람가,로브 라이너,41개,15개,평점 중앙값 이상의 작품
140,자백,다큐멘터리,106분,15세 관람가,최승호,4개,4개,평점 중앙값 이상의 작품
141,인생,드라마,132분,15세 관람가,장이머우,34개,40개,평점 중앙값 이상의 작품
142,우리들,드라마,94분,전체 관람가,윤가은,6개,5개,평점 중앙값 이상의 작품
143,퀸 락 몬트리올,다큐멘터리,95분,전체 관람가,솔 스위머,10개,2개,평점 중앙값 이상의 작품
144,취권 2,액션,100분,15세 관람가,유가량,51개,151개,평점 중앙값 이상의 작품
145,공동경비구역 JSA,드라마,110분,15세 관람가,박찬욱,35개,34개,평점 중앙값 이상의 작품
146,빌리 엘리어트 뮤지컬 라이브,공연실황,179분,전체 관람가,스티븐 달드리,11개,1개,평점 중앙값 이상의 작품
147,천국의 아이들,드라마,87분,전체 관람가,마지드 마지디,15개,6개,평점 중앙값 이상의 작품
148,명탐정 코난: 베이커가의 망령,애니메이션,106분,12세 관람가,코다마 켄지,10개,47개,평점 중앙값 이상의 작품
149,극장판 귀멸의 칼날: 무한열차편,애니메이션,117분,15세 관람가,소토자키 하루오,4개,22개,평점 중앙값 이상의 작품
150,세상에서 가장 아름다운 이별,드라마,125분,15세 관람가,민규동,27개,76개,평점 중앙값 이상의 작품
151,더 코브: 슬픈 돌고래의 진실,다큐멘터리,91분,12세 관람가,루이 시호요스,5개,1개,평점 중앙값 이상의 작품
152,말할 수 없는 비밀,멜로/로맨스,101분,12세 관람가,주걸륜,13개,13개,평점 중앙값 이상의 작품
153,맨발의 꿈,드라마,121분,전체 관람가,김태균,36개,42개,평점 중앙값 이상의 작품
154,바람,드라마,107분,청소년 관람불가,이성한,4개,36개,평점 중앙값 이상의 작품
155,마이클 잭슨의 디스 이즈 잇,다큐멘터리,111분,전체 관람가,케니 오테가,20개,16개,평점 중앙값 이상의 작품
156,에이트 빌로우,모험,120분,전체 관람가,프랭크 마샬,85개,33개,평점 중앙값 이상의 작품
157,브레이브하트,액션,177분,15세 관람가,멜 깁슨,65개,65개,평점 중앙값 이상의 작품
158,랜드 오브 마인,드라마,100분,15세 관람가,마틴 잔드블리엣,8개,14개,평점 중앙값 이상의 작품
159,도가니,드라마,125분,청소년 관람불가,황동혁,7개,26개,평점 중앙값 이상의 작품
160,"미안해요, 리키",드라마,101분,12세 관람가,켄 로치,39개,2개,평점 중앙값 이상의 작품
161,가타카,SF,106분,15세 관람가,앤드류 니콜,11개,79개,평점 중앙값 이상의 작품
162,소년시절의 너,멜로/로맨스,135분,15세 관람가,증국상,31개,22개,평점 중앙값 이상의 작품
163,이웃집 토토로,애니메이션,87분,전체 관람가,미야자키 하야오,40개,32개,평점 중앙값 이상의 작품
164,드래곤 길들이기 3,애니메이션,104분,전체 관람가,딘 데블로이스,7개,34개,평점 중앙값 이상의 작품
165,또 하나의 약속,드라마,115분,12세 관람가,김태윤,12개,135개,평점 중앙값 이상의 작품
166,본 얼티메이텀,액션,115분,12세 관람가,폴 그린그래스,11개,82개,평점 중앙값 이상의 작품
167,터미네이터,SF,108분,청소년 관람불가,제임스 카메론,43개,65개,평점 중앙값 이상의 작품
168,온리 더 브레이브,드라마,133분,12세 관람가,조셉 코신스키,4개,63개,평점 중앙값 이상의 작품
169,신데렐라 맨,드라마,144분,전체 관람가,론 하워드,82개,49개,평점 중앙값 이상의 작품
170,패밀리 맨,코미디,124분,15세 관람가,브렛 래트너,51개,108개,평점 중앙값 이상의 작품
171,토이 스토리 2,애니메이션,92분,전체 관람가,존 라세터,67개,98개,평점 중앙값 이상의 작품
172,로마의 휴일,코미디,118분,전체 관람가,윌리엄 와일러,40개,54개,평점 중앙값 이상의 작품
173,로보캅,SF,103분,15세 관람가,폴 버호벤,28개,49개,평점 중앙값 이상의 작품
174,브링 더 소울 : 더 무비,다큐멘터리,101분,전체 관람가,박준수,3개,5개,평점 중앙값 이상의 작품
175,가위손,판타지,100분,15세 관람가,팀 버튼,37개,81개,평점 중앙값 이상의 작품
176,동급생,애니메이션,61분,15세 관람가,나카무라 쇼코,1개,23개,평점 중앙값 이상의 작품
177,해바라기,액션,116분,15세 관람가,강석범,8개,36개,평점 중앙값 이상의 작품
178,피아니스트의 전설,드라마,121분,15세 관람가,쥬세페 토르나토레,19개,79개,평점 중앙값 이상의 작품
179,투게더,드라마,117분,전체 관람가,천카이거,24개,15개,평점 중앙값 이상의 작품
180,집으로 가는 길,드라마,89분,12세 관람가,장이머우,34개,38개,평점 중앙값 이상의 작품
181,"광해, 왕이 된 남자",드라마,131분,15세 관람가,추창민,10개,69개,평점 중앙값 이상의 작품
182,아저씨,액션,119분,청소년 관람불가,이정범,8개,12개,평점 중앙값 이상의 작품
183,땐뽀걸즈,다큐멘터리,85분,12세 관람가,이승문,1개,1개,평점 중앙값 이상의 작품
184,트루맛쇼,다큐멘터리,70분,12세 관람가,김재환,6개,4개,평점 중앙값 이상의 작품
185,하이 스쿨 뮤지컬: 졸업반,뮤지컬,111분,전체 관람가,케니 오테가,20개,35개,평점 중앙값 이상의 작품
186,그랜 토리노,범죄,116분,12세 관람가,클린트 이스트우드,93개,93개,평점 중앙값 이상의 작품
187,친정엄마,드라마,108분,전체 관람가,유성엽,20개,110개,평점 중앙값 이상의 작품
188,미녀와 야수,애니메이션,85분,전체 관람가,게리 트러스데일,6개,6개,평점 중앙값 이상의 작품
189,인크레더블,애니메이션,121분,전체 관람가,브래드 버드,14개,48개,평점 중앙값 이상의 작품
190,쿨 러닝,드라마,95분,전체 관람가,존 터틀타웁,18개,27개,평점 중앙값 이상의 작품
191,마이너리티 리포트,SF,145분,15세 관람가,스티븐 스필버그,145개,66개,평점 중앙값 이상의 작품
192,석양의 무법자,서부,161분,15세 관람가,세르지오 레오네,11개,93개,평점 중앙값 이상의 작품
193,코다,드라마,111분,12세 관람가,션 헤이더,4개,13개,평점 중앙값 이상의 작품
194,부활: 그 증거,다큐멘터리,99분,전체 관람가,김상철,8개,58개,평점 중앙값 이상의 작품
195,사랑은 비를 타고,뮤지컬,103분,전체 관람가,진 켈리,41개,41개,평점 중앙값 이상의 작품
196,뷰티풀 마인드,드라마,135분,12세 관람가,론 하워드,82개,49개,평점 중앙값 이상의 작품
197,리멤버 타이탄,가족,113분,12세 관람가,보아즈 야킨,18개,58개,평점 중앙값 이상의 작품
198,스피릿,애니메이션,75분,전체 관람가,켈리 애스버리,8개,82개,평점 중앙값 이상의 작품
199,프린스 앤 프린세스,애니메이션,67분,상영등급 정보 없음,미셸 오슬로,18개,20개,평점 중앙값 이상의 작품
200,시스터 액트,코미디,100분,12세 관람가,에밀 아돌리노,8개,111개,평점 중앙값 이상의 작품
201,"님아, 그 강을 건너지 마오",다큐멘터리,86분,전체 관람가,진모영,5개,1개,평점 중앙값 이상의 작품
202,인셉션,액션,147분,12세 관람가,크리스토퍼 놀란,20개,58개,평점 중앙값 이상의 작품
203,극장판 헬로카봇 : 백악기 시대,애니메이션,84분,전체 관람가,최신규,5개,52개,평점 중앙값 이상의 작품
204,백발마녀전,액션,87분,15세 관람가,우인태,33개,66개,평점 중앙값 이상의 작품
205,타인의 삶,드라마,137분,15세 관람가,플로리안 헨켈 폰 도너스마르크,3개,16개,평점 중앙값 이상의 작품
206,아름다운 비행,가족,107분,전체 관람가,캐롤 발라드,7개,68개,평점 중앙값 이상의 작품
207,바람과 함께 사라지다,드라마,230분,12세 관람가,빅터 플레밍,13개,46개,평점 중앙값 이상의 작품
208,킹콩을 들다,드라마,120분,전체 관람가,박건용,4개,67개,평점 중앙값 이상의 작품
209,말아톤,드라마,115분,전체 관람가,정윤철,20개,23개,평점 중앙값 이상의 작품
210,레드슈즈,애니메이션,92분,전체 관람가,홍성호,3개,50개,평점 중앙값 이상의 작품
211,빽 투 더 퓨쳐 2,SF,107분,12세 관람가,로버트 저메키스,46개,49개,평점 중앙값 이상의 작품
212,엽문,액션,106분,12세 관람가,엽위신,34개,75개,평점 중앙값 이상의 작품
213,고 녀석 맛나겠다,애니메이션,89분,전체 관람가,후지모리 마사야,6개,96개,평점 중앙값 이상의 작품
214,라이언,드라마,118분,12세 관람가,가스 데이비스,5개,2개,평점 중앙값 이상의 작품
215,1987,드라마,129분,15세 관람가,장준환,20개,39개,평점 중앙값 이상의 작품
216,맨 오브 오너,드라마,128분,12세 관람가,조지 틸만 주니어,13개,132개,평점 중앙값 이상의 작품
217,미이라,모험,120분,12세 관람가,스티븐 소머즈,14개,52개,평점 중앙값 이상의 작품
218,위대한 독재자,코미디,126분,전체 관람가,찰리 채플린,99개,99개,평점 중앙값 이상의 작품
219,크루즈 패밀리,애니메이션,98분,전체 관람가,커크 드 미코,6개,108개,평점 중앙값 이상의 작품
220,인크레더블 2,애니메이션,125분,전체 관람가,브래드 버드,14개,48개,평점 중앙값 이상의 작품
221,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,애니메이션,122분,15세 관람가,스도 토모노리,4개,25개,평점 중앙값 이상의 작품
222,갓파 쿠와 여름방학을,애니메이션,138분,전체 관람가,하라 케이이치,14개,38개,평점 중앙값 이상의 작품
223,크림슨 타이드,액션,116분,15세 관람가,토니 스콧,47개,58개,평점 중앙값 이상의 작품
224,명탐정 코난: 천공의 난파선,애니메이션,103분,전체 관람가,야마모토 야스이치로,14개,47개,평점 중앙값 이상의 작품
225,똥파리,드라마,130분,청소년 관람불가,양익준,51개,51개,평점 중앙값 이상의 작품
226,로미오와 줄리엣,드라마,124분,12세 관람가,프랑코 제페렐리,21개,5개,평점 중앙값 이상의 작품
227,사랑과 영혼,멜로/로맨스,127분,15세 관람가,제리 주커,19개,44개,평점 중앙값 이상의 작품
228,러빙 빈센트,애니메이션,95분,15세 관람가,도로타 코비엘라,4개,19개,평점 중앙값 이상의 작품
229,러브 앳,멜로/로맨스,118분,12세 관람가,위고 젤랭,3개,14개,평점 중앙값 이상의 작품
230,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,애니메이션,103분,전체 관람가,쿄고쿠 타카히코,4개,38개,평점 중앙값 이상의 작품
231,페이스 오프,액션,138분,15세 관람가,오우삼,66개,69개,평점 중앙값 이상의 작품
232,잉여들의 히치하이킹,다큐멘터리,105분,12세 관람가,이호재,1개,1개,평점 중앙값 이상의 작품
233,벤허,드라마,222분,전체 관람가,윌리엄 와일러,40개,80개,평점 중앙값 이상의 작품
234,이티,SF,110분,전체 관람가,스티븐 스필버그,145개,47개,평점 중앙값 이상의 작품
235,특전 유보트,드라마,210분,15세 관람가,볼프강 페터젠,14개,56개,평점 중앙값 이상의 작품
236,니모를 찾아서 3D,애니메이션,100분,전체 관람가,앤드류 스탠튼,20개,30개,평점 중앙값 이상의 작품
237,쥬만지,모험,104분,전체 관람가,조 존스톤,20개,84개,평점 중앙값 이상의 작품
238,핵소 고지,드라마,139분,15세 관람가,멜 깁슨,65개,22개,평점 중앙값 이상의 작품
239,콘택트,SF,145분,12세 관람가,로버트 저메키스,46개,57개,평점 중앙값 이상의 작품
240,마지막 황제,드라마,162분,12세 관람가,베르나르도 베르톨루치,37개,14개,평점 중앙값 이상의 작품
241,천장지구,액션,90분,15세 관람가,진목승,33개,177개,평점 중앙값 이상의 작품
242,파워 오브 원,드라마,123분,15세 관람가,존 G. 아빌드센,25개,63개,평점 중앙값 이상의 작품
243,보루토 - 나루토 더 무비,애니메이션,95분,12세 관람가,야마시타 히로유키,1개,13개,평점 중앙값 이상의 작품
244,뚜르: 내 생애 최고의 49일,다큐멘터리,97분,12세 관람가,임정하,1개,1개,평점 중앙값 이상의 작품
245,빅,코미디,104분,12세 관람가,페니 마샬,26개,98개,평점 중앙값 이상의 작품
246,캐치 미 이프 유 캔,범죄,140분,15세 관람가,스티븐 스필버그,145개,58개,평점 중앙값 이상의 작품
247,슈퍼소닉,다큐멘터리,122분,15세 관람가,맷 화이트크로스,11개,2개,평점 중앙값 이상의 작품
248,태극기 휘날리며,전쟁,145분,15세 관람가,강제규,21개,37개,평점 중앙값 이상의 작품
249,스파이 지니어스,애니메이션,102분,전체 관람가,닉 브루노,1개,50개,평점 중앙값 이상의 작품
250,나비 효과,드라마,113분,청소년 관람불가,에릭 브레스,5개,36개,평점 중앙값 이상의 작품
251,빠삐용,모험,150분,청소년 관람불가,프랭클린 J. 샤프너,18개,30개,평점 중앙값 이상의 작품
252,칼리토,범죄,145분,청소년 관람불가,브라이언 드 팔마,32개,65개,평점 중앙값 이상의 작품
253,테이큰,액션,93분,청소년 관람불가,피에르 모렐,12개,98개,평점 중앙값 이상의 작품
254,첫 키스만 50번째,멜로/로맨스,99분,15세 관람가,피터 시걸,14개,77개,평점 중앙값 이상의 작품
