,title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
8650,라이프 투 숏,드라마,상영 시간 정보 없음,상영등급 정보 없음,워윅 데이비스,35개,연기자 없음,평점 중앙값 이상의 작품
8651,라이프 트랙커,SF,109분,상영등급 정보 없음,조 맥클린,2개,11개,평점 중앙값 미만의 작품
8652,라이프 파트너스,코미디,93분,15세 관람가,수잔나 포겔,4개,28개,평점 중앙값 이상의 작품
8653,라이프 해픈스,코미디,100분,15세 관람가,캣 코이로,6개,35개,평점 중앙값 미만의 작품
8654,라이프가드,드라마,96분,상영등급 정보 없음,다니엘 페트리,32개,61개,평점 중앙값 이상의 작품
8655,라이프가드,드라마,98분,15세 관람가,리즈 W. 가르시아,3개,58개,평점 중앙값 미만의 작품
8656,라이프보트,다큐멘터리,35분,상영등급 정보 없음,스카이 피츠제럴드,4개,연기자 없음,평점 중앙값 미만의 작품
8657,라이프스 디시전스,드라마,102분,NR,마크 안소니,3개,3개,평점 중앙값 이상의 작품
8658,라이프피오디,TV영화,86분,상영등급 정보 없음,론 실버,45개,89개,평점 중앙값 미만의 작품
8659,라인 오브 듀티,액션,100분,청소년 관람불가,브라이언 라미레즈,2개,16개,평점 중앙값 미만의 작품
8660,라인업,장르 정보 없음,상영 시간 정보 없음,NR,돈 시겔,41개,69개,평점 중앙값 이상의 작품
8661,라인워치,범죄,90분,청소년 관람불가,케빈 브레이,10개,68개,평점 중앙값 미만의 작품
8662,라인의 감시,드라마,114분,NR,허먼 슘린,1개,50개,평점 중앙값 이상의 작품
8663,라일라,드라마,103분,청소년 관람불가,미샤 마커스,1개,1개,평점 중앙값 이상의 작품
8664,라일라 & 이브,드라마,94분,15세 관람가,찰스 스톤 3세,8개,38개,평점 중앙값 미만의 작품
8665,라일라 클레어의 전설,드라마,130분,NR,로버트 알드리치,32개,17개,평점 중앙값 미만의 작품
8666,라일리 더 캅,코미디,68분,상영등급 정보 없음,존 포드,86개,54개,평점 중앙값 이상의 작품
8667,라일리 리와인드,드라마,70분,상영등급 정보 없음,레이 윌리엄 존슨,2개,7개,평점 중앙값 이상의 작품
8668,라일리의 세상,장르 정보 없음,상영 시간 정보 없음,상영등급 정보 없음,로완 브랜차드,4개,연기자 없음,평점 중앙값 이상의 작품
8669,라일리의 첫번째 데이트?,애니메이션,5분,상영등급 정보 없음,조시 쿨리,6개,3개,평점 중앙값 이상의 작품
8670,라임라이트,코미디,138분,NR,찰리 채플린,99개,99개,평점 중앙값 이상의 작품
8671,라임라이프,코미디,95분,청소년 관람불가,데릭 마티니,7개,121개,평점 중앙값 이상의 작품
8672,라임스 위드 바나나,코미디,99분,상영등급 정보 없음,피터 허칭즈,5개,26개,평점 중앙값 이상의 작품
8673,라임하우스 블루스,범죄,63분,상영등급 정보 없음,알렉산더 홀,47개,27개,평점 중앙값 이상의 작품
8674,라잇 온 미,드라마,101분,청소년 관람불가,아이라 잭스,10개,29개,평점 중앙값 이상의 작품
8675,라잇 투 빌리브,드라마,112분,상영등급 정보 없음,칩 로세티,6개,3개,평점 중앙값 미만의 작품
8676,라잉 비사이드 유,코미디,105분,상영등급 정보 없음,조 발렌티,7개,2개,평점 중앙값 이상의 작품
8677,라잉 투 비 퍼펙트,코미디,"미국 , 캐나다",상영등급 정보 없음,게리 하비,8개,18개,평점 중앙값 이상의 작품
8678,라자루스,공포,83분,15세 관람가,데이빗 겔브,6개,44개,평점 중앙값 미만의 작품
8679,라자루스 라이징,액션,92분,청소년 관람불가,존 드퓨,11개,8개,평점 중앙값 미만의 작품
8680,라자루스 프로젝트,스릴러,100분,15세 관람가,존 글렌,3개,33개,평점 중앙값 이상의 작품
8681,라저 댄 라이프,코미디,93분,전체 관람가,하워드 프랭클린,8개,19개,평점 중앙값 미만의 작품
8682,라저 댄 라이프 인 3D,뮤지컬,88분,전체 관람가,로렌스 조던,21개,2개,평점 중앙값 이상의 작품
8683,라저 댄 라이프: 케빈 오코인 스토리,다큐멘터리,102분,상영등급 정보 없음,티파니 바톡,4개,연기자 없음,평점 중앙값 이상의 작품
8684,라카와나 블루스,드라마,미국,12세 관람가,조지 C. 울프,11개,21개,평점 중앙값 이상의 작품
8685,라커바이,드라마,68분,상영등급 정보 없음,조지 큐커,61개,16개,평점 중앙값 미만의 작품
8686,라커웨이,액션,78분,15세 관람가,제프 크룩,8개,26개,평점 중앙값 미만의 작품
